recipient,amount
EGxRiYuhVeAW9z6g2vXrCiMsqUGoE4FUi8NkqNnzky9Z,69307805616357
9z7sdEnttp9T9bzoRZumMcKWCU76RdmrFPi42km7Twb8,70706579762725
7ERj2iyVMkFZuvvw4mBWpoHLmRyXE3qGanNMMxjHS2rS,51947202606343
9hQqNe3DQTiwhspatewA8EXhz12e6sq5UJVJ2qNRwnTf,378939966230177
DAHJgPKdmncYW8DmY6meaU953a7SktQ7eDGtWduC8W8m,70218107793556
CyLV3N5Z4y5ZizuL7fJEH8EKmtdNdjBvUrYJGeDwKA92,69183738004261
CZ2xJQHwiojrAgrR2BUNheuWxXGjSVSZrkcxFcAGoSUH,68947903666271
AqGAaaACTDNGrVNVoiyCGiMZe8pcM1YjGUcUdVwgUtud,69919902220610
9e8SzLBT4wgCLgQwifj8fSGd6CdefbmJSMboesrETmG,84977576977052
81AbUvzdyUbP5JvENY3ConCQpWDZawYqRZCbSxmHAh4t,68827447131169
2vTeoSz2wvZfrzigJr6yswdRZnDeM3VHC2gvvmHwTnoB,69273008246126
DWWT1KsS758nceU2XT9RHV9AVE36u2xPmJCdKBEJqTRY,18633287283791
FoCQPE5Q55aHjn3EFie3SSgCZBziHjMqNQq7xMygWRYx,69236705719883
9WFMRtujjkzHuPUKakYEhNW4WvT6JqdGdPq4CieCm9z4,18672302932348
8buJst58M53hS9Zq5Gdrx83WV6FxP9SYC6q7twwGRTuu,69266896893458
J3jZnDWMNHiQVuVDRM1PhYfFRMWwMEAMark2oiwQMzcu,76901346680163
AYTzhcFH5JcPz71wRz4pV9iJu7cCRchD12q6fpx2fCtM,64301937325993
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,17014600455820
FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,245368356248999
nVmiYamBpwzEqxykaGBWvY9W4R7rmK1JudonPRhmkAw,69758147895431
CMuwimW18fBByJrVrz4HfVdGpyU5qb4FQPoeby1b3CCu,42453930081706
Hcv2C8DfAFw8uZ7oTQnnpTt4c8s15XHTEw4oZE1YPG8G,69188800422356
HBg3CkCkB7Adn7GM2Vx7G72GcHwRVBCHJDK5VgCnxfaE,4461594749256
9oVqdbvuHpf1hCm3PCkTNsS8R5HMeMUk8Xvp9NtY7vVp,69160381867024
2nHwBDwqtQNTbCUwhttsBUHnQw5QJwuDNGvynNtHaEx4,50262368851361
EchDKEw6fsWWKQjrq2MywKnKFr2vNsHbNhTxJLx7NtTB,117162765062
SoLiDDAQBEK1LK8apZcZqY7FunqeqDY6nYXMabQZvPB,67212919153010
8vNbbUAoJSuGZYeL4rtePvbFdZeRJkP7BGpbVAmV5J9g,151539681250291
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,750000491585600
6gBnV7HJzrYEDrrzoBnNV6xAMPKVLNkPyh8iPRpcU5kB,69167906415337
9Wh8gDVLdi6WiLgAASTgiWWvUHpLWX2LSuKiTVjpbNa7,1020165085
FFgDe6ZGKSwtEGFmehFXVom2yRgaMNuAq7vyW3KCCc1u,3000000
C3NxKEWdbR2XfHkCgbu2wCFeCCduJYkJ2pEomKx2wjRP,53424444333960
6mREPwVPdQfUnmXwvfHQduPCmJVoDbXJe4s4eArTT2sW,69152930561421
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,689673451199498
GezZ48oKmb79E9V4ouz53eNVifLGz8QqabVuVVJdvWqk,69180102456665
forb5u56XgvzxiKfRt4FVNFQKJrd2LWAfNCsCqL6P7q,247396837262470
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,825470290862942
Cj9UuXrk8AJZByDN4SMtACgQQWcFAFrKEygwtErxrxWT,69279903941878
Eyz6utSCN5d8dCWFrMTDGy3w3J9ewEG94sxtuJKpCnQx,1156675648595
DG92MnBtdd59XCzjHZ7SrdvxNKzcVZfUnpiFFCcPE9Uy,47866282426642
BNK9JkZYR7kBAGHMDNTzHqNTTCDsGmfM3iaQdM4kvKs6,69155027820671
3m5QHq24vbPVhtbcHbaDjvij58WExvfy16UgcCPLfDXP,22210256750607
31GGcXa8K47viSJMSk1thwPWbuF1vBY9tijL5wH8FoYM,53016982225852
C7cGvcNECbMXWEL2moJ9xLHsWheEbwKi9ZUrNdAkBE2n,69188132415282
5nU3v9FRnmTT7LrGKRj1reQoWWHHmPj5sfh2mTSti1uU,69783656189144
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,1537514346957045
AB821LfpFBwedJEfoNFZRsiPvcSxXPBNMgjyGC7RuNfS,69166246769019
W1FAbXyQJ5iPghy12TqPktwobU5kTD73ZjA6QZCvsRp,69181469549808
4QMcrCrqmZwX962kybtQPB3u9HwPYW9HN7s5W4Xezn9X,69213089860472
F97xU2xEfFN3d3J33dd2hDJb7WASDqLGRUqznXS2i2ig,62882666124214
FvwnX3EFQ86Bvp9ZKn4Xmwei5eFQwndh4ceYkrBqN5Vx,70048296706616
EReBoRDj5Lv9y1FGPXxFCt1KAgZeKqa8zJNZvkoA4Uoa,258748596130579
5NiHw5LZn1FiL848XzbEBxuygbNvMJ7CsPvXNC8VmCLN,69915506383700
1EWZm7aZYxfZHbyiELXtTgN1yT2vU1HF9d8DWswX2Tp,53136611823521
FPPo2aGYYwDWK1Rmr4sXjiCaZzzMwGKi67ijAiVZKwb8,68137796398359
DSBFx8W2oRrrQu5Y2jzQJs6tkYJ9GqCmNeEuozP6RACx,52173594473285
Aowy8a3Yih7h4fVuBJ9m4zTSTR5RbutGihVgztkDQLPe,16778720950072
2iGccofYbsAwg9GnxJA45iRNoGQfR4oYNjnptSzNx217,1036797397967119
BSNJGveGPVYzdt2bhTh3YfqbzWPH5Sq38zT1Br88Pn1N,69207166962478
DziZfhYj5RcXFvanmsfmtRqwRteSNDnTgLNEawdZww9J,69825194997582
41qxHMi4nExywe4GoyrQ7Ms5hKPJnC5vKjfxKeH87CUA,64673508065068
F1USDNGbFYDhG8SgAUGf1gk3e9a3r3BjuDYsz7L2qYkL,69787177045030
47smzJhVruKTu7Emr4WhRS7MkjZPKdQCKWDbdYvNQCh2,16743363183010
